Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37172386
Algeria,DZA,"Population, total",SP.POP.TOTL,42228429
Andorra,AND,"Population, total",SP.POP.TOTL,77006
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,96286
Armenia,ARM,"Population, total",SP.POP.TOTL,2951776
Australia,AUS,"Population, total",SP.POP.TOTL,24982688
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9939771
Bahrain,BHR,"Population, total",SP.POP.TOTL,1569439
Barbados,BRB,"Population, total",SP.POP.TOTL,286641
Belgium,BEL,"Population, total",SP.POP.TOTL,11427054
Benin,BEN,"Population, total",SP.POP.TOTL,11485048
Bhutan,BTN,"Population, total",SP.POP.TOTL,754394
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3323929
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,29802
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7025037
Burundi,BDI,"Population, total",SP.POP.TOTL,11175378
Cambodia,KHM,"Population, total",SP.POP.TOTL,16249798
Canada,CAN,"Population, total",SP.POP.TOTL,37057765
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4666377
Chile,CHL,"Population, total",SP.POP.TOTL,18729160
Colombia,COL,"Population, total",SP.POP.TOTL,49661056
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,84068091
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4999441
Croatia,HRV,"Population, total",SP.POP.TOTL,4087843
Curacao,CUW,"Population, total",SP.POP.TOTL,159800
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10629928
Djibouti,DJI,"Population, total",SP.POP.TOTL,958920
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10627165
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,98423595
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1308974
Estonia,EST,"Population, total",SP.POP.TOTL,1321977
Ethiopia,ETH,"Population, total",SP.POP.TOTL,109224559
Fiji,FJI,"Population, total",SP.POP.TOTL,883483
France,FRA,"Population, total",SP.POP.TOTL,66965912
Gabon,GAB,"Population, total",SP.POP.TOTL,2119275
Georgia,GEO,"Population, total",SP.POP.TOTL,3726549
Ghana,GHA,"Population, total",SP.POP.TOTL,29767108
Greece,GRC,"Population, total",SP.POP.TOTL,10732882
Grenada,GRD,"Population, total",SP.POP.TOTL,111454
Guatemala,GTM,"Population, total",SP.POP.TOTL,16346950
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1874309
Haiti,HTI,"Population, total",SP.POP.TOTL,11123176
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7451000
Iceland,ISL,"Population, total",SP.POP.TOTL,352721
Indonesia,IDN,"Population, total",SP.POP.TOTL,267663435
Iraq,IRQ,"Population, total",SP.POP.TOTL,38433600
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84077
Italy,ITA,"Population, total",SP.POP.TOTL,60421760
Japan,JPN,"Population, total",SP.POP.TOTL,126529100
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18276498.5
Kiribati,KIR,"Population, total",SP.POP.TOTL,115847
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51606633
Kuwait,KWT,"Population, total",SP.POP.TOTL,4137312
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7061507
Lebanon,LBN,"Population, total",SP.POP.TOTL,6848925
Liberia,LBR,"Population, total",SP.POP.TOTL,4818977
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,37910
Luxembourg,LUX,"Population, total",SP.POP.TOTL,607950
Madagascar,MDG,"Population, total",SP.POP.TOTL,26262368
Malaysia,MYS,"Population, total",SP.POP.TOTL,31528585
Mali,MLI,"Population, total",SP.POP.TOTL,19077690
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,58413
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265303
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,112640
Monaco,MCO,"Population, total",SP.POP.TOTL,38682
Montenegro,MNE,"Population, total",SP.POP.TOTL,622227
Mozambique,MOZ,"Population, total",SP.POP.TOTL,29495962
Namibia,NAM,"Population, total",SP.POP.TOTL,2448255
Nepal,NPL,"Population, total",SP.POP.TOTL,28087871
New Caledonia,NCL,"Population, total",SP.POP.TOTL,284060
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6465513
Nigeria,NGA,"Population, total",SP.POP.TOTL,195874740
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,56882
Pakistan,PAK,"Population, total",SP.POP.TOTL,212215030
Panama,PAN,"Population, total",SP.POP.TOTL,4176873
Paraguay,PRY,"Population, total",SP.POP.TOTL,6956071
Philippines,PHL,"Population, total",SP.POP.TOTL,106651922
Portugal,PRT,"Population, total",SP.POP.TOTL,10283822
Qatar,QAT,"Population, total",SP.POP.TOTL,2781677
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144477860
Samoa,WSM,"Population, total",SP.POP.TOTL,196130
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,211028
Senegal,SEN,"Population, total",SP.POP.TOTL,15854360
Seychelles,SYC,"Population, total",SP.POP.TOTL,96762
Singapore,SGP,"Population, total",SP.POP.TOTL,5638676
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5446771
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,652858
South Africa,ZAF,"Population, total",SP.POP.TOTL,57779622
Spain,ESP,"Population, total",SP.POP.TOTL,46797754
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,52438
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,37264
Sudan,SDN,"Population, total",SP.POP.TOTL,41801533
Sweden,SWE,"Population, total",SP.POP.TOTL,10175214
Tanzania,TZA,"Population, total",SP.POP.TOTL,56318348
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,16906283
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1267972
Tunisia,TUN,"Population, total",SP.POP.TOTL,11565204
Tonga,TON,"Population, total",SP.POP.TOTL,103197
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5850908
Tuvalu,TUV,"Population, total",SP.POP.TOTL,11508
Ukraine,UKR,"Population, total",SP.POP.TOTL,44622518
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66460344
Vanuatu,VUT,"Population, total",SP.POP.TOTL,292680
Uruguay,URY,"Population, total",SP.POP.TOTL,3449299
Vietnam,VNM,"Population, total",SP.POP.TOTL,95540395
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4569087
Zambia,ZMB,"Population, total",SP.POP.TOTL,17351822
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,14439018
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,28498687
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106977
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28870195
United States,USA,"Population, total",SP.POP.TOTL,326687501
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,32956100
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9630959
Uganda,UGA,"Population, total",SP.POP.TOTL,42723139
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,37665
Turkey,TUR,"Population, total",SP.POP.TOTL,82319724
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1389858
Togo,TGO,"Population, total",SP.POP.TOTL,7889094
Thailand,THA,"Population, total",SP.POP.TOTL,69428524
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9100837
Switzerland,CHE,"Population, total",SP.POP.TOTL,8514329
Suriname,SUR,"Population, total",SP.POP.TOTL,575987
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,110210
St. Lucia,LCA,"Population, total",SP.POP.TOTL,181889
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21670000
South Sudan,SSD,"Population, total",SP.POP.TOTL,10975920
Somalia,SOM,"Population, total",SP.POP.TOTL,15008154
Slovenia,SVN,"Population, total",SP.POP.TOTL,2073894
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,40654
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7650154
Serbia,SRB,"Population, total",SP.POP.TOTL,6982604
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,33699947
San Marino,SMR,"Population, total",SP.POP.TOTL,33785
Rwanda,RWA,"Population, total",SP.POP.TOTL,12301939
Romania,ROU,"Population, total",SP.POP.TOTL,19472545
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3193354
Poland,POL,"Population, total",SP.POP.TOTL,37974750
Peru,PER,"Population, total",SP.POP.TOTL,31989256
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8606316
Palau,PLW,"Population, total",SP.POP.TOTL,17907
Oman,OMN,"Population, total",SP.POP.TOTL,4829483
Norway,NOR,"Population, total",SP.POP.TOTL,5311916
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2082958
Niger,NER,"Population, total",SP.POP.TOTL,22442948
New Zealand,NZL,"Population, total",SP.POP.TOTL,4841000
Netherlands,NLD,"Population, total",SP.POP.TOTL,17231624
Nauru,NRU,"Population, total",SP.POP.TOTL,12704
Myanmar,MMR,"Population, total",SP.POP.TOTL,53708395
Morocco,MAR,"Population, total",SP.POP.TOTL,36029138
Mongolia,MNG,"Population, total",SP.POP.TOTL,3170208
Moldova,MDA,"Population, total",SP.POP.TOTL,2706049
Mexico,MEX,"Population, total",SP.POP.TOTL,126190788
Mauritania,MRT,"Population, total",SP.POP.TOTL,4403319
Malta,MLT,"Population, total",SP.POP.TOTL,484630
Maldives,MDV,"Population, total",SP.POP.TOTL,515696
Malawi,MWI,"Population, total",SP.POP.TOTL,18143315
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,631636
Lithuania,LTU,"Population, total",SP.POP.TOTL,2801543
Libya,LBY,"Population, total",SP.POP.TOTL,6678567
Lesotho,LSO,"Population, total",SP.POP.TOTL,2108132
Latvia,LVA,"Population, total",SP.POP.TOTL,1927174
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6322800
Kosovo,XKX,"Population, total",SP.POP.TOTL,1797085
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,25549819
Kenya,KEN,"Population, total",SP.POP.TOTL,51393010
Jordan,JOR,"Population, total",SP.POP.TOTL,9956011
Jamaica,JAM,"Population, total",SP.POP.TOTL,2934855
Israel,ISR,"Population, total",SP.POP.TOTL,8882800
Ireland,IRL,"Population, total",SP.POP.TOTL,4867316
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,81800269
India,IND,"Population, total",SP.POP.TOTL,1352617328
Hungary,HUN,"Population, total",SP.POP.TOTL,9775564
Honduras,HND,"Population, total",SP.POP.TOTL,9587522
Guyana,GUY,"Population, total",SP.POP.TOTL,779004
Guinea,GIN,"Population, total",SP.POP.TOTL,12414318
Guam,GUM,"Population, total",SP.POP.TOTL,165768
Greenland,GRL,"Population, total",SP.POP.TOTL,56023
Gibraltar,GIB,"Population, total",SP.POP.TOTL,33718
Germany,DEU,"Population, total",SP.POP.TOTL,82905782
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2280102
French Polynesia,PYF,"Population, total",SP.POP.TOTL,277679
Finland,FIN,"Population, total",SP.POP.TOTL,5515525
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,48497
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1136191
Eritrea,ERI,"Population, total",SP.POP.TOTL,
El Salvador,SLV,"Population, total",SP.POP.TOTL,6420744
Ecuador,ECU,"Population, total",SP.POP.TOTL,17084357
Dominica,DMA,"Population, total",SP.POP.TOTL,71625
Denmark,DNK,"Population, total",SP.POP.TOTL,5793636
Cyprus,CYP,"Population, total",SP.POP.TOTL,1189265
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,25069229
Cuba,CUB,"Population, total",SP.POP.TOTL,11338138
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5244363
Comoros,COM,"Population, total",SP.POP.TOTL,832322
China,CHN,"Population, total",SP.POP.TOTL,1392730000
Channel Islands,CHI,"Population, total",SP.POP.TOTL,170499
Chad,TCD,"Population, total",SP.POP.TOTL,15477751
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,64174
Cameroon,CMR,"Population, total",SP.POP.TOTL,25216237
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,543767
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,19751535
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,428962
Brazil,BRA,"Population, total",SP.POP.TOTL,209469333
Botswana,BWA,"Population, total",SP.POP.TOTL,2254126
Bolivia,BOL,"Population, total",SP.POP.TOTL,11353142
Bermuda,BMU,"Population, total",SP.POP.TOTL,63920
Belize,BLZ,"Population, total",SP.POP.TOTL,383071
Belarus,BLR,"Population, total",SP.POP.TOTL,9483499
Bangladesh,BGD,"Population, total",SP.POP.TOTL,161356039
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,385640
Austria,AUT,"Population, total",SP.POP.TOTL,8840521
Aruba,ABW,"Population, total",SP.POP.TOTL,105845
Argentina,ARG,"Population, total",SP.POP.TOTL,44494502
Angola,AGO,"Population, total",SP.POP.TOTL,30809762
American Samoa,ASM,"Population, total",SP.POP.TOTL,55465
Albania,ALB,"Population, total",SP.POP.TOTL,2866376
